Target Buggy Module,Action Rule Guidance (with LLM),Test Case,Status,Pass test after 10 trials,Fail test after 10 trials,Success Rate
org.gjt.sp.jedit.gui.DockableWindowManager.java,"The class `DockableWindowManager` appears too broad for its current responsibilities in managing dockable windows, layout updates, and UI state transitions. To reduce defect risk, keep the public workflow small and move mutable state and branch-heavy logic into focused collaborators. In jEdit terms, prefer a thin coordinator in `DockableWindowManager` and delegate intermediate state handling to a helper such as `DockableLayoutState`.

```java
// jEdit-oriented direction for DockableWindowManager
final class DockableLayoutState {
    void validate() { /* invariants for managing dockable windows, layout updates, and UI state transitions */ }
    void updateFromInput(...) { /* normalize arguments and state */ }
}

public class DockableWindowManager {
    private final dockableLayoutState state = new DockableLayoutState();

    public void registerDockable(...) {
        state.validate();
        doRegisterDockable(...);
    }

    private void doRegisterDockable(...) { /* focused operation */ }
    private void showDockable(...) { /* split another branch-heavy path */ }
}
```

When editing this file, avoid adding more flags or shared mutable fields to `DockableWindowManager`. Instead, extract branch-heavy blocks, isolate state validation, and keep each method focused on one jEdit action path.",DockableWindowManagerTest.java,PASS,10,0,1
org.gjt.sp.jedit.gui.DockableWindowManager.java,"Please revise `DockableWindowManager` using jEdit-specific behavior rather than generic cleanup. Focus on the bug-prone paths covered by the current test case: validate null-sensitive inputs, preserve existing editor semantics, and keep state transitions explicit.

Practical checks for `DockableWindowManager`:
1. guard invalid or stale inputs before mutating shared state;
2. keep one entry point for the main workflow and move side effects into private helpers;
3. preserve existing jEdit conventions for UI/VFS/buffer interaction in this file;
4. add comments only where an invariant or ordering constraint is non-obvious.

Use small, behavior-preserving edits around `registerDockable`, `showDockable`, and `hideDockable` style workflows instead of broad rewrites.",DockableWindowManagerTest.java,PASS,5,5,0.5
org.gjt.sp.jedit.textarea.JEditTextArea.java,"`JEditTextArea` shows signs of excessive outward coordination. In this jEdit module, the safer fix is to introduce a narrow internal helper that centralizes repeated external calls, so that `JEditTextArea` keeps the control flow while the helper owns the integration details.

```java
// jEdit-oriented direction for JEditTextArea
final class SelectionState {
    void prepare(...) { /* collect and normalize inputs */ }
    void execute(...) { /* encapsulate repeated external/service calls */ }
}

public class JEditTextArea {
    private final selectionState helper = new SelectionState();

    public void moveCaret(...) {
        helper.prepare(...);
        helper.execute(...);
    }
}
```

For `JEditTextArea`, prioritize collapsing duplicated call chains, moving validation into one place, and shrinking long workflow methods. The goal is not to add another abstraction layer everywhere, but to make the core `JEditTextArea` path easier to reason about and test with the existing jEdit test case.",JEditTextAreaTest.java,PASS,10,0,1
org.gjt.sp.jedit.textarea.JEditTextArea.java,"Review `JEditTextArea` for jEdit-specific edge cases, especially around caret movement, selection updates, repaint logic, and buffer/view synchronization. The main goal is to make failure handling explicit without changing the externally visible behavior.

Focus your fix on:
- null or stale objects crossing subsystem boundaries;
- invalid index/range/state checks before the main action runs;
- ordering constraints between `moveCaret`, `setSelection`, and `scrollToCaret`;
- early returns for unsupported states instead of deep nested branching.

A good patch for `JEditTextArea` should make the preconditions obvious, isolate exceptional handling in a helper method, and keep the normal path short.",JEditTextAreaTest.java,FAIL,3,7,0.3
org.gjt.sp.jedit.print.PrintManager.java,"The class `PrintManager` appears too broad for its current responsibilities in print job setup, page range validation, and handoff to printer-specific services. To reduce defect risk, keep the public workflow small and move mutable state and branch-heavy logic into focused collaborators. In jEdit terms, prefer a thin coordinator in `PrintManager` and delegate intermediate state handling to a helper such as `PrintJobContext`.

```java
// jEdit-oriented direction for PrintManager
final class PrintJobContext {
    void validate() { /* invariants for print job setup, page range validation, and handoff to printer-specific services */ }
    void updateFromInput(...) { /* normalize arguments and state */ }
}

public class PrintManager {
    private final printJobContext state = new PrintJobContext();

    public void buildPrintJob(...) {
        state.validate();
        doBuildPrintJob(...);
    }

    private void doBuildPrintJob(...) { /* focused operation */ }
    private void validatePageRange(...) { /* split another branch-heavy path */ }
}
```

When editing this file, avoid adding more flags or shared mutable fields to `PrintManager`. Instead, extract branch-heavy blocks, isolate state validation, and keep each method focused on one jEdit action path.",PrintManagerTest.java,PASS,10,0,1
org.gjt.sp.jedit.print.PrintManager.java,"Please revise `PrintManager` using jEdit-specific behavior rather than generic cleanup. Focus on the bug-prone paths covered by the current test case: validate null-sensitive inputs, preserve existing editor semantics, and keep state transitions explicit.

Practical checks for `PrintManager`:
1. guard invalid or stale inputs before mutating shared state;
2. keep one entry point for the main workflow and move side effects into private helpers;
3. preserve existing jEdit conventions for UI/VFS/buffer interaction in this file;
4. add comments only where an invariant or ordering constraint is non-obvious.

Use small, behavior-preserving edits around `buildPrintJob`, `validatePageRange`, and `submitJob` style workflows instead of broad rewrites.",PrintManagerTest.java,PASS,6,4,0.6
org.gjt.sp.jedit.buffer.BufferIORequest.java,"The class `BufferIORequest` appears too broad for its current responsibilities in buffer load/save orchestration, I/O validation, and error reporting. To reduce defect risk, keep the public workflow small and move mutable state and branch-heavy logic into focused collaborators. In jEdit terms, prefer a thin coordinator in `BufferIORequest` and delegate intermediate state handling to a helper such as `IOContext`.

```java
// jEdit-oriented direction for BufferIORequest
final class IOContext {
    void validate() { /* invariants for buffer load/save orchestration, I/O validation, and error reporting */ }
    void updateFromInput(...) { /* normalize arguments and state */ }
}

public class BufferIORequest {
    private final iOContext state = new IOContext();

    public void readBuffer(...) {
        state.validate();
        doReadBuffer(...);
    }

    private void doReadBuffer(...) { /* focused operation */ }
    private void writeBuffer(...) { /* split another branch-heavy path */ }
}
```

When editing this file, avoid adding more flags or shared mutable fields to `BufferIORequest`. Instead, extract branch-heavy blocks, isolate state validation, and keep each method focused on one jEdit action path.",BufferIORequestTest.java,PASS,8,2,0.8
org.gjt.sp.jedit.buffer.BufferIORequest.java,"Review `BufferIORequest` for jEdit-specific edge cases, especially around buffer load/save orchestration, I/O validation, and error reporting. The main goal is to make failure handling explicit without changing the externally visible behavior.

Focus your fix on:
- null or stale objects crossing subsystem boundaries;
- invalid index/range/state checks before the main action runs;
- ordering constraints between `readBuffer`, `writeBuffer`, and `handleIOException`;
- early returns for unsupported states instead of deep nested branching.

A good patch for `BufferIORequest` should make the preconditions obvious, isolate exceptional handling in a helper method, and keep the normal path short.",BufferIORequestTest.java,FAIL,4,6,0.4
org.gjt.sp.jedit.browser.VFSBrowser.java,"The class `VFSBrowser` appears too broad for its current responsibilities in directory navigation, view refresh, and VFS interaction. To reduce defect risk, keep the public workflow small and move mutable state and branch-heavy logic into focused collaborators. In jEdit terms, prefer a thin coordinator in `VFSBrowser` and delegate intermediate state handling to a helper such as `BrowserSession`.

```java
// jEdit-oriented direction for VFSBrowser
final class BrowserSession {
    void validate() { /* invariants for directory navigation, view refresh, and VFS interaction */ }
    void updateFromInput(...) { /* normalize arguments and state */ }
}

public class VFSBrowser {
    private final browserSession state = new BrowserSession();

    public void loadDirectory(...) {
        state.validate();
        doLoadDirectory(...);
    }

    private void doLoadDirectory(...) { /* focused operation */ }
    private void refreshDirectory(...) { /* split another branch-heavy path */ }
}
```

When editing this file, avoid adding more flags or shared mutable fields to `VFSBrowser`. Instead, extract branch-heavy blocks, isolate state validation, and keep each method focused on one jEdit action path.",VFSBrowserTest.java,PASS,10,0,1
org.gjt.sp.jedit.browser.VFSBrowser.java,"Review `VFSBrowser` for jEdit-specific edge cases, especially around directory navigation, view refresh, and VFS interaction. The main goal is to make failure handling explicit without changing the externally visible behavior.

Focus your fix on:
- null or stale objects crossing subsystem boundaries;
- invalid index/range/state checks before the main action runs;
- ordering constraints between `loadDirectory`, `refreshDirectory`, and `selectEntry`;
- early returns for unsupported states instead of deep nested branching.

A good patch for `VFSBrowser` should make the preconditions obvious, isolate exceptional handling in a helper method, and keep the normal path short.",VFSBrowserTest.java,FAIL,4,6,0.4
